geoid,name,type,county,counties,population,code_status,publisher,code_url,publisher_client_id,code_product_id,codified_through,code_last_updated,pdf_available,pending_ordinances_count,official_status,source,source_checked_date,notes,statement
12001,Alachua,county,Alachua,Alachua,291782,online-html,municode,https://library.municode.com/fl/alachua_county,20,10343,,2026-05-05,1,5,unstated,municode-api,2026-09-23,,"Alachua County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/alachua_county. 5 adopted ordinance(s) await codification. Checked 2026-09-23."
12003,Baker,county,Baker,Baker,29325,online-html,municode,https://library.municode.com/fl/baker_county,16169,14336,,2026-03-20,1,0,unstated,municode-api,2026-09-23,,"Baker County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/baker_county. Checked 2026-09-23."
1200375,Alachua,city,Alachua,Alachua,10856,online-html,municode,https://library.municode.com/fl/alachua,961,14802,2025-09-08,2026-01-22,1,10,unstated,municode-api,2026-09-23,,"The city of Alachua in Alachua County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/alachua. The code is codified through ordinances adopted 2025-09-08. 10 adopted ordinance(s) await codification. Checked 2026-09-23."
12005,Bay,county,Bay,Bay,199718,online-html,municode,https://library.municode.com/fl/bay_county,190,14281,,2026-03-05,1,28,unstated,municode-api,2026-09-23,,"Bay County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/bay_county. 28 adopted ordinance(s) await codification. Checked 2026-09-23."
1200625,Alford,town,Jackson,Jackson,519,no-online-code,none,,,,,,0,,unstated,browser,2026-09-04,official town site confirmed and read; it carries public notices and utility billing and no ordinances or code section,"The town of Alford in Jackson County, Florida, publishes no code of ordinances online. Checked 2026-09-04."
12007,Bradford,county,Bradford,Bradford,28075,online-html,municode,https://library.municode.com/fl/bradford_county,12086,12772,,2025-10-16,1,0,unstated,municode-api,2026-09-23,,"Bradford County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/bradford_county. Checked 2026-09-23."
12009,Brevard,county,Brevard,Brevard,658447,online-html,municode,https://library.municode.com/fl/brevard_county,683,10473,2025-10-02,2026-01-13,1,23,unstated,municode-api,2026-09-23,,"Brevard County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/brevard_county. The code is codified through ordinances adopted 2025-10-02. 23 adopted ordinance(s) await codification. Checked 2026-09-23."
1200950,Altamonte Springs,city,Seminole,Seminole,47261,online-html,municode,https://library.municode.com/fl/altamonte_springs,1001,11310,,2026-02-27,1,3,unstated,municode-api,2026-09-23,,"The city of Altamonte Springs in Seminole County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/altamonte_springs. 3 adopted ordinance(s) await codification. Checked 2026-09-23."
1201000,Altha,town,Calhoun,Calhoun,495,no-online-code,none,,,,,,0,,unstated,browser,2026-09-23,"The town site has a page titled Town Ordinances and Important Documents, but it was empty when loaded in a browser on 2026-09-23, and no ordinances or code are posted elsewhere on the site.","The town of Altha in Calhoun County, Florida, publishes no code of ordinances online. Checked 2026-09-23."
12011,Broward,county,Broward,Broward,2037472,online-html,municode,https://library.municode.com/fl/broward_county,713,10288,,2026-09-02,1,0,unstated,municode-api,2026-09-23,,"Broward County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/broward_county. Checked 2026-09-23."
12013,Calhoun,county,Calhoun,Calhoun,13278,ordinances-only,self-hosted,https://www.calhouncountyfl.gov/,,,,,0,,unstated,browser,2026-09-04,county publishes an index of ordinances back to 1975 as a PDF; no codified compilation,"Calhoun County, Florida, publishes individual ordinances online at https://www.calhouncountyfl.gov/ but no codified code of ordinances. Checked 2026-09-04."
1201475,Anna Maria,city,Manatee,Manatee,1016,online-html,municode,https://library.municode.com/fl/anna_maria,1039,13976,,2026-07-10,1,6,unstated,municode-api,2026-09-23,,"The city of Anna Maria in Manatee County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/anna_maria. 6 adopted ordinance(s) await codification. Checked 2026-09-23."
12015,Charlotte,county,Charlotte,Charlotte,212122,online-html,municode,https://library.municode.com/fl/charlotte_county,878,10526,,2026-06-15,1,0,unstated,municode-api,2026-09-23,,"Charlotte County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/charlotte_county. Checked 2026-09-23."
1201625,Apalachicola,city,Franklin,Franklin,2461,online-html,municode,https://library.municode.com/fl/apalachicola,1051,15446,,2026-06-29,1,1,unstated,municode-api,2026-09-23,,"The city of Apalachicola in Franklin County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/apalachicola. 1 adopted ordinance(s) await codification. Checked 2026-09-23."
12017,Citrus,county,Citrus,Citrus,170174,online-html,municode,https://library.municode.com/fl/citrus_county,932,12785,,2025-12-09,1,3,unstated,municode-api,2026-09-23,,"Citrus County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/citrus_county. 3 adopted ordinance(s) await codification. Checked 2026-09-23."
1201700,Apopka,city,Orange,Orange,62777,online-html,municode,https://library.municode.com/fl/apopka,1052,10117,,2026-08-20,1,2,unstated,municode-api,2026-09-23,"the publisher states codification through an ordinance adopted January 21, 2026, which postdates the supplement it published on 0001-01-01, so the stated date is not recorded","The city of Apopka in Orange County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/apopka. 2 adopted ordinance(s) await codification. Checked 2026-09-23."
1201750,Arcadia,city,DeSoto,DeSoto,7974,online-html,municode,https://library.municode.com/fl/arcadia,11594,10367,,2025-01-24,1,0,unstated,municode-api,2026-09-23,,"The city of Arcadia in DeSoto County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/arcadia. Checked 2026-09-23."
1201775,Archer,city,Alachua,Alachua,1176,online-html,municode,https://library.municode.com/fl/archer,18885,12718,2023-12-11,2024-06-12,1,0,unstated,municode-api,2026-09-23,,"The city of Archer in Alachua County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/archer. The code is codified through ordinances adopted 2023-12-11. Checked 2026-09-23."
12019,Clay,county,Clay,Clay,236760,online-html,municode,https://library.municode.com/fl/clay_county,11352,10559,,2026-06-23,1,0,unstated,municode-api,2026-09-23,,"Clay County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/clay_county. Checked 2026-09-23."
12021,Collier,county,Collier,Collier,416233,online-html,municode,https://library.municode.com/fl/collier_county,5149,10578,,2026-07-09,1,1,unstated,municode-api,2026-09-23,,"Collier County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/collier_county. 1 adopted ordinance(s) await codification. Checked 2026-09-23."
1202250,Astatula,town,Lake,Lake,2266,online-html,municode,https://library.municode.com/fl/astatula,8029,13864,,2023-05-17,1,0,unstated,municode-api,2026-09-23,,"The town of Astatula in Lake County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/astatula. Checked 2026-09-23."
12023,Columbia,county,Columbia,Columbia,73977,online-html,municode,https://library.municode.com/fl/columbia_county,13002,13889,,2025-10-07,1,0,unstated,municode-api,2026-09-23,,"Columbia County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/columbia_county. Checked 2026-09-23."
1202400,Atlantic Beach,city,Duval,Duval,13279,online-html,municode,https://library.municode.com/fl/atlantic_beach,1095,10377,,2026-08-21,1,3,unstated,municode-api,2026-09-23,,"The city of Atlantic Beach in Duval County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/atlantic_beach. 3 adopted ordinance(s) await codification. Checked 2026-09-23."
1202500,Atlantis,city,Palm Beach,Palm Beach,2160,online-html,municode,https://library.municode.com/fl/atlantis,1097,15120,2025-11-19,2026-03-05,1,5,unstated,municode-api,2026-09-23,,"The city of Atlantis in Palm Beach County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/atlantis. The code is codified through ordinances adopted 2025-11-19. 5 adopted ordinance(s) await codification. Checked 2026-09-23."
1202550,Auburndale,city,Polk,Polk,20659,online-html,municode,https://library.municode.com/fl/auburndale,1108,10379,,2025-10-03,1,0,unstated,municode-api,2026-09-23,,"The city of Auburndale in Polk County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/auburndale. Checked 2026-09-23."
1202681,Aventura,city,Miami-Dade,Miami-Dade,40531,online-html,municode,https://library.municode.com/fl/aventura,1117,13153,,2026-06-08,1,4,unstated,municode-api,2026-09-23,,"The city of Aventura in Miami-Dade County, Florida, publishes its code of ordinances as a searchable web code through Municode at https://library.municode.com/fl/aventura. 4 adopted ordinance(s) await codification. Checked 2026-09-23."
